name,gender
sudama,f
sany,m
jainaf,f
shivji,m
aadil,m
dilip,m
mum,m
joity,f
prameela,f
shabana,f
richa,f
bina,f
prashansa,m
nisha,m
farida,f
toshar,m
ashu,m
pemaram,m
chandra,m
sumit,m
dhanna,m
sanjeev,m
gulshan,m
rupa,f
dali,f
viriya,m
shital,f
ratani,f
sayara,f
shamshad,m
shiv,m
mursida,f
kritika,f
rajiv,m
manowar,m
kirti,m
kishnaram,m
shalu,f
anshul,m
rijwana,f
phool,f
swati,f
santosh,f
chanchal,f
laltha,m
ranveer,m
ali,m
rena,f
reetu,f
usha,f
himani,f
lokesh,m
karishma,f
aasim,m
ganesh,m
pratibha,f
roshan,f
naveen,m
sumitra,f
saweta,f
ravinder,m
kumkum,f
ruchi,f
faujdar,m
begraj,m
chanden,m
kumar,m
himmat,m
rajeshwari,f
bhanu,m
nena,f
ajahar,m
dhanraj,m
jitender,m
simran,f
aasu,f
ashok,m
maha,m
soma,f
parth,m
shahid,m
manju,f
anita,m
shambhu,m
moharan,m
shgita,f
devraj,m
shiwani,f
supriya,f
humera,f
swagtika,f
yashin,m
kanya,f
rukhsana,f
akhilesh,m
harsh,m
jaswant,m
bhisan,m
aasif,m
ishwar,m
batloon,f
rajjit,m
seeta,m
parvez,m
hasina,f
mona,f
deepu,m
goverdhan,m
chandni,f
kashmir,m
jatan,m
vimala,f
pinki,f
jgdish,m
munna,m
rameshwar,m
vimla,f
iqbal,m
shadan,m
shivangi,f
vivek,m
nathu,m
kamaljeet,m
kalu,m
chatru,m
ibraham,m
tahseen,f
madam,f
roopa,f
mangal,m
arman,m
karishan,m
raj,f
bittu,m
sony,f
neetu,f
sabana,f
sharukh,m
tammanne,m
ambika,f
khashbu,f
kushum,f
chhoti,f
aasmin,f
rajat,m
promila,f
inderjeet,m
nazreen,f
bhulan,m
gurpreet,m
pradeep,m
tony,m
varsha,f
rama,m
mahinudin,m
vinod,m
hema,f
shima,f
manno,f
archna,f
roshini,f
marti,f
kartik,m
ranjay,m
sonali,f
gopiram,m
shahnaza,f
ram,f
takshila,f
lalit,m
sazia,f
chanderpal,m
harun,m
shivraj,m
aahim,m
azmira,f
beenu,m
name,m
arab,m
mangi,m
aafrin,f
fanni,m
bhawari,f
kuldeep,f
satyanarayan,m
ranjit,m
laxman,m
pawan,f
saeed,m
kaushal,m
vinay,m
dimpal,f
dharmpal,m
ragini,f
shimla,f
kanhaiya,m
fatima,f
pintu,m
asiwani,m
shobina,f
stifen,m
gendu,f
jagat,m
ansh,m
deepanshi,f
lilu,m
ifteshyam,f
shaurabh,m
surjeet,m
ramswaroop,m
rajveer,m
shakuntla,f
gora,f
saheb,m
jubeda,f
birju,m
aamin,m
akhtri,f
parveen,f
dipti,f
frjana,f
prateek,m
gopal,m
sukanya,f
pintu,f
razia,f
firdosh,f
munbura,f
suganti,f
preety,f
afrin,f
fateh,m
virender,m
lalu,m
mishbha,f
shanti,f
sameer,m
bhopal,m
ranjana,f
pree,f
jasbir,m
sawan,m
abbas,m
dipali,f
fazaz,m
rampher,m
shree,m
samina,m
devender,m
laltesh,f
gunjan,f
panna,m
na,f
farjana,f
julee,f
akshay,m
roshani,f
lovely,f
rashid,m
sunny,m
shanawaz,m
jaanki,f
aaysha,f
rajendar,m
yashmin,f
farukh,m
rukshana,f
jaya,f
sanju,f
pawan,m
aayana,f
dhirender,m
sher,m
anwar,m
prem,m
sushri,f
sahiba,f
dhram,m
prya,f
foolmaya,f
irphan,m
sagir,m
sekha,m
balchand,m
papp,m
sahab,f
deepak,f
ridhima,f
rahil,f
rikkenchi,f
manjeet,f
rachna,f
tausin,m
roobi,f
doli,f
madina,f
utam,m
ramesh,m
nandni,f
lakhvinder,f
shanaz,f
ashiya,f
mana,f
bhuvneshwar,m
sharmili,f
balraj,m
hisham,m
gita,f
yogesh,f
chetna,f
iesha,f
mohini,f
jugan,f
parerna,f
wahid,m
roshanara,f
subburaiyalu,m
shabbir,m
aamod,m
mala,f
ranjit,f
lakhe,f
chetram,m
jatin,m
prince,m
yogender,m
atif,m
santram,m
zeshan,m
lokender,m
jaijairam,m
parhalad,m
rajan,m
rashmi,f
ramjeet,m
anjali,f
meesh,f
charan,m
jaid,m
manash,m
yasmin,f
nargis,f
bahalen,f
sarvesh,f
dur,f
usman,m
nareshpal,m
gudiya,f
sahrukh,m
jahid,m
sahid,m
satvir,m
partik,m
shiva,f
lakhihadar,f
karisma,f
riyajudhin,m
chotu,m
sukhwanti,f
sushpal,m
shamshina,f
vashisast,m
tabbasum,f
balkishan,m
pannu,m
ayan,m
yasin,m
sunena,f
shikha,f
rampal,m
bhartendu,m
sohan,m
prayatan,m
asish,m
kosaleya,f
sajan,m
kamruddin,m
rawana,f
moti,f
khanchan,f
lata,f
riyasat,m
nidhi,f
prdeep,m
meenu,f
satyanara,m
varun,m
kamlash,f
pramal,m
lucky,m
krishna,f
amisha,f
rakshit,m
varisha,f
veero,f
naimuddin,m
phoolo,m
aashiya,f
husainpreet,f
priyansi,f
sharee,m
meera,f
rajendra,m
adarsh,m
parbhat,m
tilakram,m
rimzim,f
mahipal,m
ritu,f
aisha,f
bhori,f
rajkumar,m
ajad,m
dev,m
anuradha,f
prem,f
antim,f
devi,m
albina,f
aliya,f
shaloo,f
nargish,f
parveen,m
akram,m
bhagchand,m
shani,m
kailesh,m
sufiyan,m
mehnaj,f
leena,f
aanchal,f
khushi,f
surajbhan,m
sapana,f
raismi,f
srita,f
nanshi,f
saiesta,f
kafia,f
avfesh,m
angad,m
raviraj,m
dharmendra,m
raman,f
nasreema,f
prashant,m
abdulla,m
suwadhin,m
kheem,m
surbhi,f
ratul,m
benay,m
kewal,m
siddharth,m
rupanjali,f
anand,m
bake,m
omendra,m
kusum,f
manjeet,m
sabbir,m
sanjya,m
aleesha,f
jahir,m
anup,m
pramila,f
karuna,f
sultan,m
satyapal,f
asgari,f
balwan,m
hina,f
rakhi,f
vimal,m
kishore,m
girija,f
gyatri,f
rajwanti,f
manu,f
tanuja,m
akhlakh,m
khalid,m
bhupesh,m
sarvjeet,m
rajaram,m
shjad,m
shakib,m
parmo,m
kudeep,m
shamsuddin,m
gordhan,m
binja,m
amir,m
sanha,f
poneem,f
sanjeevan,m
kanti,f
shiva,m
sudershan,m
shanu,f
brahmanand,m
deepan,m
sahana,f
shilpi,f
mariyam,f
sanju,m
moni,m
vikki,m
indira,f
gulsida,f
marya,f
phirdos,m
ritu,m
jalaluddin,m
anjli,f
hansraj,m
sudhanshu,m
biram,m
roop,m
mannulal,m
atul,m
munnia,f
menpal,m
aniket,m
aas,m
limca,f
mamtha,f
meenu,m
panchi,f
ziarul,m
shafibul,m
gulshan,f
chhagana,f
wiliyam,m
anshuman,m
abhimanyu,m
susila,f
tanu,f
suneeta,f
keshram,m
diksha,f
chhatar,m
jumrati,m
revndrshing,m
prakash,m
krishma,f
khushal,m
shyamlal,m
megharaj,m
munni,f
pinky,f
ijhar,m
ashutosh,m
samadh,m
kajamuddih,m
lakshit,m
rada,f
jamana,f
saddam,m
shana,f
omparsad,m
emilia,m
digvijay,m
tulsiram,m
sonyi,f
awshin,f
devesh,m
omwati,f
najrana,f
bhaddal,m
balram,m
rajbala,f
mukhtyar,m
sumer,m
mohatter,m
neeta,f
nazma,f
manful,m
sudesh,f
kamala,f
rony,m
hiralal,m
habiba,f
farha,f
mahavir,m
pawansingh,m
archita,f
divy,m
halke,m
